../Makin/Makin_processed_npy/
batch size 32epoch  50sequence len  1024
train loss, train r2 score
1.0648, -0.1179
0.7041, 0.2855
0.6234, 0.3661
0.5684, 0.4227
0.5270, 0.4645
0.4851, 0.5074
0.4374, 0.5559
0.4035, 0.5904
0.3714, 0.6233
0.3446, 0.6500
0.3225, 0.6732
0.2977, 0.6989
0.2809, 0.7152
0.2701, 0.7266
0.2526, 0.7454
0.2392, 0.7568
0.2298, 0.7673
0.2201, 0.7765
0.2122, 0.7848
0.2024, 0.7948
0.1963, 0.8010
0.1899, 0.8076
0.1814, 0.8164
0.1745, 0.8231
0.1713, 0.8265
0.1632, 0.8346
0.1579, 0.8398
0.1528, 0.8447
0.1526, 0.8451
0.1437, 0.8539
0.1420, 0.8555
0.1373, 0.8607
0.1320, 0.8657
0.1319, 0.8657
0.1271, 0.8708
0.1214, 0.8756
0.1200, 0.8778
0.1158, 0.8820
0.1144, 0.8831
0.1113, 0.8865
0.1068, 0.8912
0.1043, 0.8936
0.1014, 0.8964
0.1011, 0.8972
0.0984, 0.8996
0.0967, 0.9014
0.0974, 0.9009
0.0910, 0.9072
0.0903, 0.9078
0.0873, 0.9109
