../Makin/Makin_processed_npy/
batch size 32epoch  50sequence len  1024
section name, test loss, test r2 score
Test ALL, 0.2301, 0.7197
indy_20160622_01_processed_spike, 0.2534, 0.7417
indy_20160624_03_processed_spike, 0.2454, 0.7200
indy_20160627_01_processed_spike, 0.1955, 0.7751
indy_20160630_01_processed_spike, 0.2908, 0.5993
indy_20160915_01_processed_spike, 0.2661, 0.7265
indy_20160916_01_processed_spike, 0.2282, 0.7962
indy_20160921_01_processed_spike, 0.3027, 0.6849
indy_20160927_04_processed_spike, 0.2324, 0.7592
indy_20160927_06_processed_spike, 0.2936, 0.7181
indy_20160930_02_processed_spike, 0.2195, 0.7409
indy_20160930_05_processed_spike, 0.2532, 0.7191
indy_20161005_06_processed_spike, 0.2894, 0.6887
indy_20161006_02_processed_spike, 0.2473, 0.7247
indy_20161007_02_processed_spike, 0.2996, 0.7439
indy_20161011_03_processed_spike, 0.2038, 0.8090
indy_20161013_03_processed_spike, 0.4070, 0.5125
indy_20161014_04_processed_spike, 0.2714, 0.7123
indy_20161017_02_processed_spike, 0.2466, 0.7231
indy_20161024_03_processed_spike, 0.2829, 0.6697
indy_20161025_04_processed_spike, 0.1881, 0.7678
indy_20161026_03_processed_spike, 0.2109, 0.7410
indy_20161027_03_processed_spike, 0.1989, 0.7888
indy_20161206_02_processed_spike, 0.3686, 0.7001
indy_20161207_02_processed_spike, 0.2538, 0.7179
indy_20161212_02_processed_spike, 0.2279, 0.7543
indy_20161220_02_processed_spike, 0.3321, 0.6362
indy_20170123_02_processed_spike, 0.2306, 0.7716
indy_20170124_01_processed_spike, 0.3697, 0.5590
indy_20170127_03_processed_spike, 0.2743, 0.7541
indy_20170131_02_processed_spike, 0.2090, 0.7451
