../Makin/Makin_origin_npy/
batch size 128epoch  50sequence len  256
train average loss, train average r2 score
2.0515, -1.1959942140999962
0.9383, -0.013358209063025081
0.9250, -0.005546811748953427
0.9215, -0.0026015507824280683
0.9371, -0.01315769027261173
0.9252, -0.0019134072696461396
0.9073, 0.010496295550290276
0.7653, 0.17343424435924082
0.6469, 0.3050895482301712
0.5353, 0.42114519634667563
0.4507, 0.5155074421097251
0.3974, 0.5691206805846271
0.3513, 0.6199188793406767
0.3064, 0.6711327731609344
0.2937, 0.6854126996853772
0.2610, 0.7199627862257116
0.2576, 0.7225313642445732
0.2380, 0.7432386016144472
0.2159, 0.7670935602749095
0.2143, 0.7723425679347095
0.2013, 0.7840878840755013
0.1920, 0.7934033625266131
0.1843, 0.8017807690536275
0.1836, 0.8033903100911308
0.1725, 0.8151396442862118
0.1641, 0.8237506624530343
0.1638, 0.8228133250685299
0.1528, 0.836129474289277
0.1473, 0.8416858385590946
0.1425, 0.8459323714761173
0.1358, 0.8531242118162268
0.1311, 0.8591787727440104
0.1251, 0.8652971579748041
0.1250, 0.8643195997266209
0.1141, 0.8763997291817385
0.1091, 0.8818682309459237
0.1045, 0.886375169543659
0.1039, 0.887774828602286
0.1020, 0.8893905983251684
0.0917, 0.9001015424728394
0.0906, 0.9023802911534029
0.0847, 0.9084221142179826
0.0812, 0.9123544324846828
0.0796, 0.913903534412384
0.0750, 0.9190082602641162
0.0715, 0.92259922097711
0.0682, 0.9259688661378973
0.0654, 0.9289835551205803
0.0623, 0.9324110150337219
0.0605, 0.9341461623416227
test loss, test r2 score
0.2170, 0.7738
../Makin/Makin_processed_npy/
batch size 128epoch  50sequence len  256
train average loss, train average r2 score
2.2093, -1.3443859644008405
0.9680, -0.01462784590143146
0.9625, -0.010823977716041334
0.9563, -0.0038928199898112903
0.9573, -0.0040455514734441585
0.9571, -0.0020980193759455824
0.9564, -0.005598954179070212
0.9528, -0.0024566623297604647
0.9266, 0.03010754603328127
0.7359, 0.23266761591940216
0.5712, 0.40599187847339746
0.4849, 0.49344270969882154
0.4015, 0.5804587945793614
0.3597, 0.6243714130286014
0.3280, 0.6592369133775885
0.2931, 0.6950575293916644
0.2641, 0.7246721278537404
0.2525, 0.7375717560450236
0.2348, 0.7559078913746458
0.2219, 0.7684079047405359
0.2091, 0.7830436410325946
0.2042, 0.7873187986287203
0.2010, 0.7905396295316292
0.1899, 0.802076310822458
0.1790, 0.813711840094942
0.1730, 0.8191760381062826
0.1654, 0.8275732036792871
0.1618, 0.8306913809342817
0.1562, 0.8373711596835743
0.1472, 0.8463438370011069
0.1413, 0.8526208129796115
0.1330, 0.8611243005954858
0.1331, 0.8613573890743833
0.1255, 0.8685468868775801
0.1264, 0.8678008643063632
0.1188, 0.875636839505398
0.1123, 0.8826889359589779
0.1071, 0.8874328335126241
0.1009, 0.8946137554717787
0.0953, 0.9002356818228057
0.0930, 0.9023025812524738
0.0889, 0.9071646639795015
0.0867, 0.9091091679804253
0.0820, 0.9140631682945021
0.0790, 0.9172599261457269
0.0768, 0.9191822138699618
0.0730, 0.9237334836613048
0.0693, 0.9275156945893259
0.0668, 0.930156713182276
0.0638, 0.9330956664952365
test loss, test r2 score
../Makin/Makin_processed_npy/
batch size 128epoch  50sequence len  256
train average loss, train average r2 score
2.2093, -1.3443859644008405
0.9680, -0.01462784590143146
0.9625, -0.010823977716041334
0.9563, -0.0038928199898112903
0.9573, -0.0040455514734441585
0.9571, -0.0020980193759455824
0.9564, -0.005598954179070212
0.9528, -0.0024566623297604647
0.9266, 0.03010754603328127
0.7359, 0.23266761591940216
0.5712, 0.40599187847339746
0.4849, 0.49344270969882154
0.4015, 0.5804587945793614
0.3597, 0.6243714130286014
0.3280, 0.6592369133775885
0.2931, 0.6950575293916644
0.2641, 0.7246721278537404
0.2525, 0.7375717560450236
0.2348, 0.7559078913746458
0.2219, 0.7684079047405359
0.2091, 0.7830436410325946
0.2042, 0.7873187986287203
0.2010, 0.7905396295316292
0.1899, 0.802076310822458
0.1790, 0.813711840094942
0.1730, 0.8191760381062826
0.1654, 0.8275732036792871
0.1618, 0.8306913809342817
0.1562, 0.8373711596835743
0.1472, 0.8463438370011069
0.1413, 0.8526208129796115
0.1330, 0.8611243005954858
0.1331, 0.8613573890743833
0.1255, 0.8685468868775801
0.1264, 0.8678008643063632
0.1188, 0.875636839505398
0.1123, 0.8826889359589779
0.1071, 0.8874328335126241
0.1009, 0.8946137554717787
0.0953, 0.9002356818228057
0.0930, 0.9023025812524738
0.0889, 0.9071646639795015
0.0867, 0.9091091679804253
0.0820, 0.9140631682945021
0.0790, 0.9172599261457269
0.0768, 0.9191822138699618
0.0730, 0.9237334836613048
0.0693, 0.9275156945893259
0.0668, 0.930156713182276
0.0638, 0.9330956664952365
test loss, test r2 score
0.2172, 0.6778
../Makin/Makin_processed_npy/
batch size 128epoch  50sequence len  256
train average loss, train average r2 score
